"id","scan_time","pages","count_broken_link","mobile","count_images","count_alt_image","hl1","hl2","hl3","count_flash","count_script","count_frame","count_iframe","count_in_linked","count_out_linked","google","SNSuse","server"
"16555","252.80977392196655","232","0","0","6793","2237","462","219","3","0","1499","0","1","232","1","119","0","Apache"
"16556","169.9108166694641","262","6","0","5464","295","6","4","17","0","1814","1","11","171","137","171","0","nginx"
"16557","125.10924506187439","217","0","0","2630","1238","218","411","0","0","3035","2","1","303","19","53","0","Apache"
"16558","201.427752494812","195","0","0","3500","2317","396","637","504","0","3435","4","8","611","39","305","0","Apache"
"16559","138.07006645202637","202","7","1","3171","2782","245","832","206","0","2498","0","30","234","190","4","1",\N
"16561","131.0755100250244","345","0","1","7607","2058","100","85","107","0","2883","0","307","1067","6","527","0","Apache"
"16563","2512.566724538803","3939","1","1","41511","5854","126","2346","0","0","60550","0","836","5358","2870","65","1","nginx"
"16564","5.5155088901519775","20","0","0","184","0","0","0","0","25","31","0","0","20","3","74","0","nginx"
"16565","60.794686794281006","8","0","1","76","49","1","78","21","0","376","0","0","7","121","5","1","Pepyaka/1.19.10"
"16566","51.49221682548523","132","0","0","2710","0","0","0","0","0","1360","0","128","147","14","93","0","Apache/2.2.20 (Unix) mod_ssl/2.2.20 OpenSSL/0.9.8e-fips-rhel5 DAV/2 PHP/5.2.16"
"16567","124.9497172832489","269","0","1","1750","1440","424","284","1572","0","3674","0","8","437","19","262","1","Apache"
"16569","427.27908086776733","763","22","0","11413","4146","832","9744","6082","0","11248","0","0","932","1407","90","0","Microsoft-IIS/8.5"
"16570","20.699389696121216","78","0","0","611","488","37","137","35","0","499","0","43","143","2","1060","0","Apache"
"16572","12.286248683929443","37","0","0","143","78","54","47","0","0","308","0","0","110","3","155","0","nginx"
"16574","50.27117848396301","92","0","1","642","23","79","203","112","0","1727","0","9","92","97","913","1","Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips mod_fcgid/2.3.9 PHP/5.4.45"
"16577","3129.541034221649","231","5","1","1399","339","139","116","46","0","3692","0","11","369","631","204","1","nginx"
"16578","7.484351873397827","21","1","1","254","66","7","0","80","8","283","0","11","63","74","74900","1","nginx"
"16580","756.69966173172","599","23","1","2259","310","335","366","651","0","45669","0","17","3148","43","464","1","nginx"
"16581","186.7302906513214","438","10","0","6730","4617","844","9","0","0","3653","0","20","466","9","34","1","nginx"
"16582","97.25001978874207","162","3","1","3707","2934","274","729","190","0","3360","0","5","293","12","27800","0","nginx"
"16583","74.65536785125732","250","8","1","1197","571","309","387","124","0","2570","0","0","778","46","92","0","Apache"
"16584","39.72236084938049","203","0","1","472","384","147","108","212","0","530","0","3","298","1","131","0","Apache/2.4.18 (Ubuntu)"
"16586","2812.9888083934784","1248","30","1","10038","4266","432","306","579","0","20355","0","0","1415","1637","8","1","Apache"
"16587","26.874964237213135","216","167","0","616","414","45","133","51","0","115","0","18","218","4","41","0","Apache"
"16591","26.65147566795349","67","1","1","449","0","268","32","0","0","901","0","0","67","241","261","0","nginx"
"16592","25.539267539978027","72","3","1","70","59","24","125","42","0","402","0","2","135","98","110","0","nginx"
"16594","6705.68625164032","4558","782","1","21074","12876","4768","22948","2135","0","93920","0","16","42073","6775","154","1","nginx"
"16595","240.34173440933228","827","2","1","2417","3","1701","21","176","0","2988","0","6","1445","27","502","1","Apache/2.2.24 (Unix) mod_ssl/2.2.24 OpenSSL/0.9.8e-fips-rhel5 DAV/2 PHP/5.2.16"
"16596","7.393449068069458","28","3","0","744","681","19","18","18","0","63","4","0","47","8","0","0","Apache/2.2.3 (CentOS)"
"16599","136.5288245677948","169","0","1","651","548","165","165","313","0","1600","0","0","178","9","230","0","Apache"
"16600","552.2966678142548","503","0","1","1593","1104","499","433","6","0","8023","0","6","581","634","0","0","nginx"
"16603","9.355152130126953","17","0","1","162","53","34","31","32","0","373","0","2","18","32","0","0","Apache"
"16604","69.65318775177002","186","0","1","1136","338","183","180","174","0","2741","0","1","185","9","583","0","Apache"
"16605","18.21125030517578","42","0","1","378","0","35","0","10","0","385","0","0","42","21","36","0","Apache/2.2.2 (Unix) mod_ssl/2.2.2 OpenSSL/0.9.8e-fips-rhel5 DAV/2 PHP/5.3.21"
"16607","32.367215394973755","102","0","1","367","95","211","579","7","0","2025","0","0","226","5","764","0","Apache/2.4.25 (Unix) OpenSSL/1.0.1e-fips"
"16611","2.3708765506744385","8","0","0","25","18","7","32","4","0","104","0","0","18","2","9","0","Apache"
"16612","733.8233742713928","212","4","0","1789","1631","238","226","169","0","2803","0","6","521","226","183","1","Apache"
"16614","183.06471467018127","366","5","1","2986","951","349","2808","24","0","7365","0","24","610","7","804","1","nginx"
"16616","24.903258085250854","57","1","1","124","2","17","63","0","0","385","0","0","80","41","105","0","Apache"
"16617","13.233065843582153","10","1","1","27","1","9","1","31","0","82","0","0","10","6","78","0","cloudflare"
"16618","40.66932654380798","144","2","0","1187","17","82","17","0","17","1076","30","11","378","13","2170","1","Apache/2.4.7 (Ubuntu)"
"16619","118.0354495048523","212","3","1","1432","216","208","256","228","0","3298","0","0","213","21","333","1","nginx"
"16620","115.9561722278595","212","3","1","1432","216","208","256","228","0","3298","0","0","213","21","168","1","nginx"
"16622","112.27936005592346","277","0","0","787","560","175","4","5","0","2820","0","4","574","137","893","1","Apache"
"16624","982.2633290290833","456","16","1","3886","724","345","0","1231","0","15820","0","0","1792","7","8","0","nginx"
"16626","120.62277960777283","293","0","0","8871","4824","251","0","0","0","3195","1","199","175","242","304","0","Apache"
"16627","2.8155922889709473","14","0","0","164","141","0","0","0","0","9","0","3","14","17","63","0","Apache/2.2.31 (Unix) PHP/5.2.16"
"16633","36.169230461120605","123","1","0","2843","0","0","0","0","119","1872","2","118","136","21","34","0","nginx"
"16635","892.5112035274506","1061","119","0","57489","6802","74","1","1827","0","10680","0","807","9909","35","5","1","Apache"
"16637","67.84644079208374","119","3","1","548","389","382","469","53","0","1568","0","42","1325","23","281","0","Apache"
"16639","52.005096673965454","127","0","1","221","0","0","258","173","0","1747","0","2","304","0","186","0","nginx"
"16640","28.402903079986572","75","6","0","707","0","0","0","0","0","510","0","0","75","4","16","1","nginx"
"16644","250.87206530570984","503","9","0","7152","362","292","264","0","0","4716","0","204","1194","1092","2640","0",\N
"16646","63.98221802711487","99","1","1","211","94","68","337","38","0","1047","0","0","541","19","60","0","nginx"
"16647","12.17837929725647","47","0","1","195","0","32","183","22","0","937","2","5","147","10","63","0","Apache"
"16653","6010.12158870697","2259","5","1","19031","2232","1805","10478","12885","1","98683","0","28","7685","522","4630000","1","Apache"
"16654","20.554010152816772","18","0","1","95","68","22","39","52","0","87","0","0","87","10","0","0","Apache/2.4.18 (Ubuntu)"
"16658","377.6640815734863","362","4","1","630","253","251","24","1695","1","5667","0","2","723","57","9","0","nginx"
"16660","73.04908299446106","160","1","1","759","364","183","240","58","0","3016","0","0","159","5","334","0","nginx"
"16661","2.597548007965088","6","0","1","88","0","2","3","0","0","97","0","0","41","44","0","0","nginx"
"16662","73.6486656665802","82","5","1","687","161","150","214","91","0","2000","0","1","84","42","26","0","Apache"
"16663","3.7807295322418213","15","0","1","47","39","18","32","25","0","132","0","0","15","2","54","0","Apache"
"16665","324.8084669113159","221","0","0","7470","1428","0","0","0","2","759","3","1","1357","2","41","0","Apache"
"16667","10.612741470336914","39","0","0","363","49","5","0","0","0","246","0","6","39","6","212","0","Microsoft-IIS/7.5"
"16668","9.848594188690186","46","0","0","1382","100","0","0","0","3","91","0","0","40","7","68","0","Apache/2.2.12 (Unix) mod_ssl/2.2.12 OpenSSL/0.9.8e-fips-rhel5"
"16670","3377.787362098694","1102","11","1","19916","6514","2469","88","494","0","22719","0","495","2636","2203","103","1","nginx"
"16671","76.97945356369019","207","2","0","538","236","352","437","182","0","2361","0","18","601","56","328","0","Apache"
"16672","870.0795867443085","1715","334","1","7399","1622","565","3339","37","0","14041","0","30","2189","1097","478","1","Apache"
"16674","150.94339442253113","100","0","1","627","100","30","0","156","0","1727","0","0","316","7","611","0","Apache"
"16675","7.327317476272583","7","0","1","7","0","21","0","0","0","105","0","0","7","21","0","0","Varnish"
"16677","58.95257759094238","272","2","1","2410","26","181","175","175","0","1646","0","115","42","478","52","0","Apache"
"16680","9.000701189041138","4","3","1","10","0","2","13","0","0","23","0","0","4","113","624","0","nginx"
"16681","83.74424624443054","210","9","1","1038","104","154","348","7","0","4004","0","0","457","46","169","1","nginx"
"16682","0.6259617805480957","4","0","0","14","10","0","0","0","0","0","5","0","4","13","0","0","Apache"
"16683","11.432132482528687","19","0","1","201","56","44","34","36","0","397","0","2","19","32","0","0","Apache"
"16687","78.99062156677246","36","0","1","178","103","50","38","98","0","205","0","0","209","59","462","0","Apache/2.4.18 (Ubuntu)"
"16690","162.39785718917847","103","0","0","309","309","88","99","0","0","891","0","0","145","16","147","0","Nginx"
"16694","45.217806339263916","95","4","0","2332","346","85","83","83","0","758","0","0","95","10","146","0","nginx"
"16697","22.194655179977417","56","2","1","121","90","48","132","0","0","706","0","0","75","3","0","0","Apache"
"16700","139.51145434379578","117","1","1","57","12","452","90","0","0","1188","0","1","181","1083","20","0","nginx"
"16704","535.5886642932892","748","4","0","44013","7206","0","0","0","0","13228","9","116","1329","1244","11100","1",\N
